date,location_reference_id,BOH < Ideal,BOH = Ideal,BOH > Ideal,BOH > Shelf Capacity,OTL > Shelf Capacity,Ideal BOH > Shelf Capacity,Never: Q98 > POG,Never: Ideal BOH > POG,Sometimes: OTL+Casepack-1 > POG,Always: OTL+Casepack-1 <= POG,Non-POG,Backroom_OH,Total OH,Prop OH in Backroom,Demand Fulfilled,Demand,Fill Rate,Inbound,Outbound,BOO,Point_Forecast,DFE_Q98,EOP,BOP,EOH,BOH,OTL,BOH_OOS,EOH_OOS,region
2018-05-14,3276,0.017037891560919335,0.23267370662880468,0.750288401810276,0.10622060520010648,0.07986511669180939,0.053598367202058746,127,437,302,10338,73,1053.4099951349199,61204.0,0.017211456688041957,3047.289999458939,20362.04004096985,0.1496554369467685,3527.579997966066,3047.289999458939,2430.5799983832985,3057.859997484833,20362.04004096985,21514.0,22813.0,57655.05003815889,61204.0,50724.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-15,3276,0.01677167450527997,0.23728813559322035,0.7459401899014997,0.10417960777353802,0.07995385571035585,0.052888455053687104,135,421,315,10337,73,862.9099950753152,60603.0,0.01423873397480843,2972.729997454211,20182.880040168762,0.1472896827181139,2430.5799983832985,2972.729997454211,2431.2099972702563,2984.2399967983365,20182.880040168762,21514.0,22813.0,57112.900087833405,60603.0,50699.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-16,3276,0.02058745230277753,0.25255124678321056,0.7268613009140119,0.1016949152542373,0.08057502884018103,0.05439701836897684,128,443,303,10330,73,831.9300007093698,59978.0,0.013870585893317047,2975.7599949911237,20192.0200381279,0.14737307061760527,2431.2099972702563,2975.7599949911237,2727.239996097982,2988.05999603495,20192.0200381279,21514.0,22813.0,56568.35001659393,59978.0,50757.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-17,3276,0.02129736445114917,0.26550714349099297,0.7131954920578578,0.10080752506877273,0.08403585056349276,0.052622237998047744,136,416,361,10291,73,820.0200012288988,59747.0,0.013724873235959945,3000.560000495985,20355.740040779114,0.14740608764333282,2727.239996097982,3000.560000495985,2731.839997459203,3012.920000327751,20355.740040779114,21514.0,22813.0,56295.02993422747,59747.0,51442.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-18,3276,0.04348211908776289,0.3018901410950395,0.6546277398171976,0.09983139586476174,0.09122371106575561,0.057946579110835034,172,439,386,10210,73,915.5900071579963,59477.0,0.015394017975990658,3373.109995163977,21497.32004404068,0.1569083954769071,2731.839997459203,3373.109995163977,3256.3599966894835,3390.0399952884763,21497.32004404068,21514.0,22813.0,55653.75998169184,59477.0,53068.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-19,3276,0.09424083769633508,0.35486733516727303,0.5508918271363918,0.1000976129204011,0.09033632088029106,0.06673174194693407,211,500,303,10220,73,1066.7300041615963,59448.0,0.017943917443170438,4134.309998301789,23704.100031375885,0.17441328685035154,3256.3599966894835,4134.309998301789,4307.539995275438,4163.019997058436,23704.100031375885,21514.0,22813.0,54775.80995309353,59448.0,53423.0,0.0015973023338361877,0.0015973023338361877,NE
2018-05-20,3276,0.061229922797053866,0.3071257431892803,0.6316443340136658,0.10258230543970184,0.08332593841512113,0.06043127163013577,187,440,272,10299,86,1306.2000027671456,59710.0,0.021875732754432182,3811.8300047758967,22976.560034751892,0.16590081365576612,4307.539995275438,3811.8300047758967,4597.280012503266,4133.5899942442775,22976.560034751892,21316.0,22615.0,55271.51996707916,59710.0,52006.0,0.0015973023338361877,0.0017747803709290974,NE
2018-05-21,3276,0.014109503948886326,0.21412725175259562,0.7717632442985181,0.1038246516993522,0.07800159730233383,0.05297719407223356,114,431,288,10359,86,1386.1800114084035,60469.0,0.02292381238995855,3176.9700020793825,20235.32004261017,0.15700122337524358,4597.280012503266,3176.9700020793825,2791.42999801971,3188.750002965331,20235.32004261017,21316.0,22615.0,56691.830029428005,60469.0,50571.0,0.0015973023338361877,0.0015973023338361877,NE
2018-04-22,3277,0.13619801482598318,0.13965322276667924,0.7241487624073376,0.18475939188340243,0.1613267998492273,0.1017715793441387,593,933,920,13313,170,13130.460000038147,110411.0,0.11892347682783551,11754.409993842244,48215.15996360779,0.2437907496877399,3898.0,11754.409993842244,4749.0,12096.70999121666,48215.15996360779,36794.0,39161.0,98657.05003531277,110411.0,106719.0,0.046362608367885416,0.04787033546928006,NE
2018-04-23,3277,0.11915374474229393,0.12379935965848453,0.7570468955992216,0.18356456776947705,0.15732312135099505,0.09234729110427523,504,875,996,13386,170,12772.889999955893,110009.0,0.11610768209833643,10448.18999247253,45181.45998239517,0.23124949916500345,4332.0,10448.18999247253,3132.5899999719113,10752.009994255379,45181.45998239517,36824.0,39191.0,99555.73001146317,110009.0,105515.0,0.04777449934082491,0.04909284951974386,NE
2018-04-24,3277,0.15179860631552514,0.1415029192039676,0.7066984744805073,0.17552890953606629,0.16253374348672234,0.09504677004206165,528,905,1016,13305,177,11731.029999941587,106353.0,0.11030276531871773,10913.459992200136,46490.01997566223,0.2347484470411798,4055.5899999719113,10913.459992200136,5381.900000024587,11265.15998879075,46490.01997566223,36811.0,39178.0,95436.99010702036,106353.0,106635.0,0.04551447046267813,0.047460606441082305,NE
2018-04-25,3277,0.15449808525331157,0.18023730303220542,0.665264611714483,0.15933203590934772,0.16033649318852408,0.09793458471969364,538,924,953,13340,177,3823.7199999224395,101375.0,0.037718569666312596,11033.799996122718,47055.419974803925,0.2344852091859094,4818.900000024587,11033.799996122718,11961.189993046224,11471.95998666808,47055.419974803925,36811.0,39178.0,89222.08999466524,101375.0,105609.0,0.044384456023604746,0.04639337058195744,NE
2018-04-26,3277,0.12047209492121289,0.1618431791072886,0.7176847259714986,0.15832757863017138,0.16642601544353067,0.09366564128319417,514,885,1114,13243,177,4259.75998858735,101780.0,0.04185262319303743,10091.86999740079,44782.89998340607,0.22535097104341723,11550.189995387569,10091.86999740079,9283.9399877619,10451.419997364283,44782.89998340607,36811.0,39178.0,90680.41006421484,101780.0,107367.0,0.03810659802875259,0.0401782911670538,NE
